,0
0,1.0
1,0.9999647070855626
2,0.9996153511706731
3,0.9994941832131278
4,0.999493928193712
5,0.999245191213508
6,0.9999802698955167
7,1.0
8,0.9999749171548898
9,0.999495637252112
10,0.9994548863540135
11,0.9994957034385902
12,0.999463877217369
13,0.9996088915285367
14,0.9994792957777788
15,0.9999801537100498
16,0.9996384023113729
17,0.999986418357719
18,0.9997618750377201
19,0.9999987264785218
20,0.9999755101964148
21,0.9999882835736458
22,1.0
23,0.9994902220232468
24,0.9999623852974734
25,1.0
26,0.9999991962039236
27,0.9999935846675543
28,1.0000000000569498
29,0.9998933012605745
30,0.9999899187700608
31,0.9999895681328242
32,1.0000000053015972
33,0.9994933905844664
34,0.9996658344276054
35,0.999495917871293
36,0.9994961505483613
37,0.9994936194709142
38,0.9996393907085588
39,0.9995338214120829
40,0.9999257810563575
41,0.9994967820377977
42,0.9997514417991109
43,0.9994391210472957
44,0.9994975027814158
45,0.9999791618194004
46,0.9994967071266482
47,0.9994995812924643
48,0.9994979336963672
49,0.9998050335323224
50,0.9996009284020411
51,0.9998186445531951
52,0.9993410149982972
53,0.9999995152415011
54,0.9994983347888403
55,1.0
56,0.9994982763597787
57,0.999515321867434
58,1.0000000022603843
59,0.9999031320732904
60,1.0
61,1.0000000038466546
62,1.0
63,1.0
64,1.0
65,1.0
66,0.9994542833098293
67,0.999500837209669
68,0.9994951694238392
69,0.9999250240234588
70,1.0
71,1.0
72,0.9995025150871534
73,0.9999509412903202
74,1.0
75,0.9999859248401519
76,0.9999997187416486
77,1.0
78,0.999489110927204
79,1.0
80,0.9999741643992688
81,0.9995434641853393
82,0.9994935618915733
83,0.9999764891495444
84,0.9993332692835906
85,1.0
86,1.0000000016382307
87,0.9998459560177647
88,0.9999825043573766
89,0.9999267862331692
90,0.9994921129153759
91,0.9994937128406559
92,0.9999962627200273
93,0.9993818886556016
94,0.9999960393010519
95,1.0
96,0.9994698408345425
97,0.9991655992270657
98,0.9994926494240529
99,0.9994940617969675
100,0.9994933792948072
101,1.0
102,0.9994930244137491
103,1.0
104,0.9994940618686414
105,0.9996266567578401
106,1.0
107,0.9998837462260302
108,0.9994944162119279
109,0.9999545224292513
110,0.99949488067718
111,0.9999790350288311
112,0.9999477571121616
113,0.9998694463012062
114,0.9999790358750493
